IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IC_GROUP0;IC_GROUP1;IC_GROUP2
44;Историческая справка;44;Y;;;;;text;;;html;;500;;;;
88;Автоматических систем безопасности;88;Y;;;/upload/iblock/559/5597419ec0428fc251f493e27398e37c.jpg;;text;;;html;avtomaticheskikh-sistem-bezopasnosti;501;;Кафедры;;
;Учебно-лабораторная база;12989;Y;24.08.2009 21:07:31;;;;text;;"<p>На кафедре функционируют 4 учебные лаборатории.</p>

<p>&nbsp;</p>

<p><strong><em>Механика и молекулярная физика</em></strong>.</p>

<p><a class=""lightbox"" title=""MM"" href=""/images/2009/08/MM.jpg""><img class=""aligncenter size-medium wp-image-55889"" title=""MM"" src=""/images/2009/08/MM-300x198.jpg"" alt="""" width=""300"" height=""198"" /> </a><a class=""lightbox"" title=""MM1"" href=""/images/2009/08/MM1.jpg""><img class=""aligncenter size-medium wp-image-55888"" title=""MM1"" src=""/images/2009/08/MM1-300x198.jpg"" alt="""" width=""300"" height=""198"" /> </a><a class=""lightbox"" title=""MM2"" href=""/images/2009/08/MM2.jpg""><img class=""aligncenter size-medium wp-image-55887"" title=""MM2"" src=""/images/2009/08/MM2-300x198.jpg"" alt="""" width=""300"" height=""198"" /></a></p>

<p>&nbsp;</p>

<p>В лаборатории поставлено 13 лабораторных работ:</p>

<ul>
	<li>Измерение физических величин;</li>
	<li>Изучение упругого удара шаров;</li>
	<li>Определение модуля Юнга проволоки по деформации растяжения;</li>
	<li>Динамика вращательного движения твердого тела;</li>
	<li>Определение коэффициента вязкости жидкости методом Стокса;</li>
	<li>Ультразвук. Скорость ультразвука в твердых телах;</li>
	<li>Определение средней длины свободного пробега и эффективного диаметра молекул воздуха;</li>
	<li>Определение адиабатической постоянной воздуха методом звуковых стоячих волн;</li>
	<li>Измерение коэффициента трения скольжения методом торможения.</li>
	<li>Изучение математического и физического маятников.</li>
	<li>Температура.</li>
	<li>Теплопроводность газов.</li>
	<li>Изучение фазовых переходов первого рода.</li>
</ul>

<p>Лаборатория оснащена 5-ю информационными стендами.</p>

<p><strong><em>Электричество и магнетизм</em></strong></p>

<p style=""text-align: center;""><strong><em><a class=""lightbox"" title=""E"" href=""/images/2009/08/E.jpg""><img class=""aligncenter size-medium wp-image-55893"" title=""E"" src=""/images/2009/08/E-300x198.jpg"" alt="""" width=""300"" height=""198"" /></a><a class=""lightbox"" href=""/images/2009/08/5-300x225.jpg""><br />
 </a><br />
 </em></strong></p>

<p>В лаборатории поставлено 12 лабораторных работ:</p>

<ul>
	<li>Изучение основных закономерностей электростатических полей на примере плоскопараллельной модели;</li>
	<li>Измерение сопротивлений мостовым методом;</li>
	<li>Изучение электронного осциллографа;</li>
	<li>Термоэлектрические явления и их применение;</li>
	<li>Изучение явления взаимной индукции;</li>
	<li>Определение относительной магнитной проницаемости, коэрцитивной силы и остаточной индукции ферромагнетиков;</li>
	<li>Изучение закономерностей движения заряженных частиц в электрическом и магнитном полях;</li>
	<li>Свободные колебания в колебательном контуре;</li>
	<li>Резонансные явления в цепях переменного тока;</li>
	<li>Определение параметров источника тока.</li>
	<li>Проверка закона Ома для цепи переменного тока.</li>
	<li>Изучение резонанса напряжений и токов.</li>
</ul>

<p>Лаборатория оснащена 7-ю информационными стендами.</p>

<p><strong><em>Оптика и квантовая физика</em></strong></p>

<p style=""text-align: center;""><strong><em><a class=""lightbox"" title=""LO"" href=""/images/2009/08/LO.jpg""><img class=""aligncenter size-medium wp-image-55892"" title=""LO"" src=""/images/2009/08/LO-300x198.jpg"" alt="""" width=""300"" height=""198"" /> </a><a class=""lightbox"" title=""LO1"" href=""/images/2009/08/LO1.jpg""><img class=""aligncenter size-medium wp-image-55891"" title=""LO1"" src=""/images/2009/08/LO1-300x198.jpg"" alt="""" width=""300"" height=""198"" /> </a><a class=""lightbox"" title=""LO2"" href=""/images/2009/08/LO2.jpg""><img class=""aligncenter size-medium wp-image-55890"" title=""LO2"" src=""/images/2009/08/LO2-300x198.jpg"" alt="""" width=""300"" height=""198"" /></a><a class=""lightbox"" href=""/images/2009/08/7-300x225.jpg""><br />
 </a><br />
 </em></strong></p>

<p>В лаборатории поставлено 7 лабораторных работ:</p>

<ul>
	<li>Определение радиуса кривизны линзы путем наблюдения колец Ньютона;</li>
	<li>Изучение дифракционной решетки;</li>
	<li>Изучение законов Малюса и Брюстера;</li>
	<li>Исследование дисперсии стеклянной призмы;</li>
	<li>Определение постоянной Ридберга;</li>
	<li>Изучение внешнего фотоэффекта и определение постоянной Планка;</li>
	<li>Экспериментальное изучение законов теплового излучения.</li>
</ul>

<p>Лаборатория оснащена 10-ю информационными стендами.</p>

<p>&nbsp;</p>

<p><strong><em>Радиационная безопасность</em></strong></p>

<p style=""text-align: center;""><strong><em><a class=""lightbox"" title=""RB2"" href=""/images/2009/08/RB.jpg""><img class=""aligncenter size-medium wp-image-55886"" title=""RB2"" src=""/images/2009/08/RB-300x198.jpg"" alt="""" width=""300"" height=""198"" /> </a><a class=""lightbox"" title=""RB"" href=""/images/2009/08/RB.jpg""><br />
  </a><a class=""lightbox"" title=""RB1"" href=""/images/2009/08/RB1.jpg""><img class=""aligncenter size-medium wp-image-55885"" title=""RB1"" src=""/images/2009/08/RB1-300x198.jpg"" alt="""" width=""300"" height=""198"" /></a><a class=""lightbox"" href=""/images/2009/08/92.jpg""><br />
 </a><br />
 </em></strong></p>

<p>В лаборатории поставлено 6 лабораторных работ:</p>

<ul>
	<li>Детекторы ядерных излучений. Изучение работы сцинцилляционного счетчика;</li>
	<li>Закон радиоактивного распада. Статистика измерений ядерных излучений;</li>
	<li>Взаимодействие гамма-излучения с веществом;</li>
	<li>Радиометрия;</li>
	<li>Бета-радиометрия;</li>
	<li>Дозиметрия.</li>
	<li>Измерение объемной и удельной активности радионуклидов К-40 и Cs-137/</li>
</ul>

<p>Лаборатория оснащена 6-ю информационными стендами.</p>";html;baza_en;500;;Кафедры;Кафедра естественных наук;
;Учебно-лабораторная база;12925;Y;27.08.2009 17:07:21;;;;text;;"<p style=""text-align: left;""><span style=""line-height: 14.85px;"">А 403 ""Аудитория дознания по пожарам""</span></p>

<table style=""text-align: center; width: 12px; height: 22px;"" border=""0"">
<tbody>
<tr>
<td><a class=""lightbox"" title=""_KII3823"" href=""/images/2009/08/KII3823.jpg""><img class=""alignnone size-medium wp-image-46071"" title=""_KII3823"" src=""/images/2009/08/KII3823-300x198.jpg"" alt="""" width=""300"" height=""198"" /></a></td>
<td style=""text-align: center;""><a class=""lightbox"" title=""_KII3824"" href=""/images/2009/08/KII3824.jpg""><img class=""alignnone size-medium wp-image-46072"" title=""_KII3824"" src=""/images/2009/08/KII3824-198x300.jpg"" alt="""" width=""198"" height=""300"" /></a></td>
</tr>
<tr>
<td colspan=""1""><a class=""lightbox"" title=""_KII3825"" href=""/images/2009/08/KII3825.jpg""><img class=""alignnone size-medium wp-image-46073"" title=""_KII3825"" src=""/images/2009/08/KII3825-300x198.jpg"" alt="""" width=""300"" height=""198"" /></a></td>
<td colspan=""1""> </td>
</tr>
</tbody>
</table>

<p>&nbsp;</p>

<p>&nbsp;</p>

<p>А 408 ""Аудитория по охране труда""</p>

<table style=""text-align: center; width: 12px; height: 22px;"" border=""0"">
<tbody>
<tr>
<td><a class=""lightbox"" title=""A408"" href=""/images/2009/08/KII3815.jpg""><img class=""alignnone size-medium wp-image-46074"" title=""A408"" src=""/images/2009/08/KII3815-300x198.jpg"" alt="""" width=""300"" height=""198"" /></a></td>
<td rowspan=""1""><a class=""lightbox"" title=""A408"" href=""/images/2009/08/KII3816.jpg""><img class=""alignnone size-medium wp-image-46075"" title=""A408"" src=""/images/2009/08/KII3816-300x198.jpg"" alt="""" width=""300"" height=""198"" /></a></td>
<td style=""text-align: center;""> </td>
</tr>
<tr>
<td colspan=""1""><a class=""lightbox"" title=""A408"" href=""/images/2009/08/KII3817.jpg""><img class=""alignnone size-medium wp-image-46076"" title=""A408"" src=""/images/2009/08/KII3817-300x198.jpg"" alt="""" width=""300"" height=""198"" /></a></td>
<td colspan=""1""><a class=""lightbox"" title=""A408"" href=""/images/2009/08/KII3818.jpg""><img class=""alignnone size-medium wp-image-46077"" title=""A408"" src=""/images/2009/08/KII3818-300x198.jpg"" alt="""" width=""300"" height=""198"" /></a></td>
<td colspan=""1""> </td>
</tr>
<tr>
<td colspan=""1""><a class=""lightbox"" title=""A408"" href=""/images/2009/08/KII3819.jpg""><img class=""alignnone size-medium wp-image-46078"" title=""A408"" src=""/images/2009/08/KII3819-300x198.jpg"" alt="""" width=""300"" height=""198"" /></a></td>
<td colspan=""1""><a class=""lightbox"" title=""A408"" href=""/images/2009/08/KII3821.jpg""><img class=""alignnone size-medium wp-image-46079"" title=""A408"" src=""/images/2009/08/KII3821-300x198.jpg"" alt="""" width=""300"" height=""198"" /></a></td>
<td colspan=""1""> </td>
</tr>
<tr>
<td colspan=""1""><a class=""lightbox"" title=""A408"" href=""/images/2009/08/DSCN5887.jpg""><img class=""alignnone size-medium wp-image-46080"" title=""A408"" src=""/images/2009/08/DSCN5887-300x225.jpg"" alt="""" width=""300"" height=""225"" /></a></td>
<td colspan=""1""><a class=""lightbox"" title=""A408"" href=""/images/2009/08/DSCN5888.jpg""><img class=""alignnone size-medium wp-image-46081"" title=""A408"" src=""/images/2009/08/DSCN5888-300x225.jpg"" alt="""" width=""300"" height=""225"" /></a></td>
<td colspan=""1""> </td>
</tr>
<tr>
<td colspan=""1""><a class=""lightbox"" title=""A408"" href=""/images/2009/08/DSCN5889.jpg""><img class=""alignnone size-medium wp-image-46082"" title=""A408"" src=""/images/2009/08/DSCN5889-300x225.jpg"" alt="""" width=""300"" height=""225"" /></a></td>
<td colspan=""1""> </td>
<td colspan=""1""> </td>
</tr>
</tbody>
</table>

<p>&nbsp;</p>";html;baza_odopchs;500;;Кафедры;Кафедра организации службы, надзора и правового обеспечения;
;Учебно-лабораторная база;12962;Y;27.08.2009 17:23:54;;;;text;;"<p>[pdf /images/file/PASiFP.pdf]</p>

<p>&nbsp;</p>

<p style=""text-align: center;""><a href=""/images/file/PASiFP.pdf""><span style=""font-size: medium;"">Скачать документ</span></a></p>";html;baza_pasfp;500;;Кафедры;Кафедра физической подготовки и спорта;
